,text_id,token,ageism,aporophobia,body_shame,capacitism,lgbtphobia,political,racism,religious_intolerance,misogyny,xenophobia,other,not_hate
238,1140,▁CO,-0.4258463,-0.13104051,-0.33809423,-0.29163063,-0.17251822,-0.24955599,-0.33442974,-0.47280416,-0.112822026,-0.31869876,0.5078561,0.57240945
239,1140,ISA,0.8012742,0.5703616,0.546615,0.49932393,0.54416454,0.14612696,0.7251278,0.54204994,0.24572201,0.74039364,-0.19901031,0.097785614
240,1140,S,-0.2774766,0.002273798,-0.103755176,-0.38366705,-0.24978876,-0.03376186,-0.22510427,-0.4030323,-0.23230852,-0.0682289,0.5895838,0.76717323
241,1140,▁,-0.43019548,-0.1370188,-0.25833213,-0.44726038,-0.3980226,-0.055710495,-0.3882266,-0.3228798,-0.3321708,-0.39830247,0.91089404,0.43008417
242,1140,ESSE,1.8767085,1.3034067,1.5577574,1.13848,1.2279253,0.766372,1.8774217,1.374644,0.6147451,1.9451542,-0.5775139,-0.4524743
243,1140,▁MOMENT,-0.7541077,-0.40181398,-0.49139473,-0.61035854,-0.56460416,-0.28344274,-0.76585644,-0.526262,-0.34178865,-0.6938793,0.8085451,0.3294486
244,1140,O,0.17619003,0.2335604,0.17372538,0.11829986,0.18716988,-0.011343304,0.20771083,0.037753403,-0.0948509,0.27241397,-0.065782934,0.3191827
245,1140,▁EH,1.2252321,0.9476975,1.0848753,0.63012207,0.72117424,0.59549916,1.2133908,0.86955464,0.38507792,1.3654461,0.025012791,-0.3364306
246,1140,▁M,0.26883554,0.11090922,0.1617772,0.099019736,0.12776297,-0.013117254,0.19624501,0.07298094,-0.082749665,0.22270662,-0.06281325,0.33865744
247,1140,EU,1.3318739,1.1747733,1.2729933,0.71626765,0.92815757,0.7789343,1.4055188,0.89260614,0.46364897,1.7176503,0.18089461,0.018780373
248,1140,▁#,2.0227396,1.2461572,1.5517857,1.2578819,1.390825,0.7587909,1.961369,1.2522162,0.75316364,2.0434997,-1.3208196,-0.12797904
249,1140,BBB,1.132204,0.72189367,0.89560485,0.6217879,0.7096915,0.45315403,1.1575297,0.7446015,0.25135565,1.1889374,-0.7725948,0.049714565
250,1140,17,0.44126755,0.714953,0.6679236,-0.055422954,0.32185453,0.38554615,0.66755104,0.040019006,0.14861819,1.1156934,0.6697614,0.7741139
251,3472,▁b,0.3805566,0.47740194,0.4661811,0.36753955,-0.49270892,-0.9179212,-0.22927181,0.5270779,-0.39341292,-0.3434026,-0.10663369,-0.10902851
252,3472,cz,-0.34617138,0.10827254,-0.50445586,-0.18708332,-0.69089675,-0.23727633,-0.30116475,0.14950891,0.013243832,0.181683,-0.3579834,0.32599607
253,3472,inho,0.05781555,0.06915958,0.17013516,0.04515394,-0.36232096,-0.35082507,-0.0012738034,0.10878776,-0.15889141,0.018986434,0.64803433,0.18283533
254,3472,▁de,0.48579445,0.2729947,0.45795187,0.657126,0.3106405,0.54332995,0.21912368,0.26032802,0.31535235,0.47507638,0.30369893,-0.5273193
255,3472,▁q,-0.19922471,0.11894136,-0.23955724,-0.0965374,-0.42445916,-0.20297107,-0.13563341,0.27059427,0.08694981,0.10738025,-0.45410857,0.037721783
256,3472,m,-0.24768491,-0.058511093,-0.06557727,-0.15798137,-0.5205998,-0.17070797,-0.16692108,0.16247253,-0.06481534,0.014903516,-0.2846711,-0.153018
257,3472,▁ta,0.0851818,0.12423277,0.28991202,-0.047334366,-0.26539958,-0.18748297,-0.08410707,0.30247408,0.23794667,-0.020413578,0.90803033,-0.6085371
